role,skill,difficulty,session_type,output_question,source
Backend Developer,MongoDB,Easy,technical,Your MongoDB application is throwing an unhandled error on startup. What are your first steps?,template
DevOps Engineer,AWS,Hard,technical,"A deadlock is occurring in your AWS database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Full Stack Developer,GraphQL,Medium,technical,A memory leak is suspected in your GraphQL application. How do you confirm and eliminate it?,template
Backend Developer,RabbitMQ,Easy,technical,"If a junior developer asked you to explain RabbitMQ, what real-world analogy would you use?",template
Frontend Developer,CSS,Hard,system_design,Architect a fault-tolerant job scheduling system using CSS. How do you handle failures without data loss?,template
Frontend Developer,JavaScript,Medium,technical,Your team is migrating an existing system to use JavaScript. What is your migration plan?,template
Frontend Developer,HTML5,Easy,system_design,Design a simple todo app using HTML5 as the core technology.,template
Full Stack Developer,TypeScript,Hard,system_design,Architect a fault-tolerant e-commerce platform using TypeScript. How do you handle failures without data loss?,template
Frontend Developer,TypeScript,Easy,technical,A basic TypeScript function is returning None unexpectedly. How do you debug it?,template
ML Engineer,Python,Hard,system_design,Design a highly scalable analytics dashboard using Python that handles 1 million events per second.,template
Frontend Developer,TypeScript,Medium,technical,A memory leak is suspected in your TypeScript application. How do you confirm and eliminate it?,template
Backend Developer,MongoDB,Medium,technical,What are common pitfalls when using MongoDB and how do you avoid them?,template
Data Analyst,Excel,Hard,behavioural,"Tell me about a time Excel caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
ML Engineer,Feature Engineering,Easy,technical,Explain the basic concept of Feature Engineering in simple terms.,template
Backend Developer,Django,Hard,behavioural,"Tell me about a time Django caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Redux,Medium,technical,Your team is migrating an existing system to use Redux. What is your migration plan?,template
Full Stack Developer,Next.js,Hard,system_design,Design a multi-region deployment of Next.js for a global application with sub-100ms latency requirements.,template
Frontend Developer,HTML5,Hard,behavioural,"Tell me about a time HTML5 caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
DevOps Engineer,Docker,Medium,technical,You are building a e-commerce platform and need to integrate Docker. Walk me through your approach.,template
Data Analyst,Python,Hard,technical,A race condition is occurring in your Python setup under load. Describe your complete debugging and resolution strategy.,template
Backend Developer,MongoDB,Easy,technical,Explain the basic concept of MongoDB in simple terms.,template
Backend Developer,RabbitMQ,Easy,system_design,Design a simple todo app using RabbitMQ as the core technology.,template
Backend Developer,Node.js,Easy,technical,Your Node.js application is throwing an unhandled error on startup. What are your first steps?,template
Frontend Developer,Redux,Hard,system_design,Design a multi-region deployment of Redux for a global application with sub-100ms latency requirements.,template
ML Engineer,MLflow,Hard,technical,You are the lead engineer on a e-commerce platform serving 5 million users. How would you architect MLflow into the stack?,template
Backend Developer,Docker,Medium,technical,You are building a URL shortener and need to integrate Docker. Walk me through your approach.,template
Data Analyst,NumPy,Hard,system_design,Design a highly scalable analytics dashboard using NumPy that handles 1 million events per second.,template
DevOps Engineer,Terraform,Hard,system_design,Design a highly scalable e-commerce platform using Terraform that handles 1 million events per second.,template
Frontend Developer,JavaScript,Medium,behavioural,Tell me about a time you had to convince your team to adopt JavaScript. How did you make the case?,template
Backend Developer,Redis,Medium,technical,Users are reporting intermittent failures in a Redis service. How do you reproduce and fix the issue?,template
Frontend Developer,Vue.js,Easy,technical,What problem does Vue.js solve in software development?,template
ML Engineer,MLflow,Medium,system_design,Design the database schema for a e-commerce platform that uses MLflow as its data layer.,template
Data Analyst,NumPy,Hard,technical,Your NumPy deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Data Analyst,Tableau,Easy,technical,A basic Tableau function is returning None unexpectedly. How do you debug it?,template
DevOps Engineer,Kubernetes,Hard,technical,Your real-time chat app is experiencing data corruption at 10x normal traffic. How do you use Kubernetes to diagnose and resolve it?,template
Backend Developer,RabbitMQ,Easy,behavioural,Tell me about a project where you used RabbitMQ.,template
Full Stack Developer,GraphQL,Hard,technical,"Compare GraphQL with its closest alternative in terms of performance, scalability, and developer experience.",template
Frontend Developer,JavaScript,Hard,technical,"Compare JavaScript with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,SQL,Medium,system_design,Design the database schema for a real-time chat app that uses SQL as its data layer.,template
Data Analyst,Power BI,Medium,behavioural,Tell me about a time you had to convince your team to adopt Power BI. How did you make the case?,template
Frontend Developer,TypeScript,Medium,behavioural,Tell me about a time you had to convince your team to adopt TypeScript. How did you make the case?,template
Frontend Developer,Webpack,Hard,technical,What are the internal memory management strategies used by Webpack?,template
ML Engineer,BERT,Medium,behavioural,Describe a challenging bug you solved using BERT. What was your thought process?,template
ML Engineer,MLflow,Medium,technical,How would you use MLflow to handle high concurrency in a real-world application?,template
Full Stack Developer,GraphQL,Easy,behavioural,Tell me about a project where you used GraphQL.,template
Backend Developer,MongoDB,Easy,technical,How would you use MongoDB to build a simple notification service?,template
ML Engineer,scikit-learn,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving scikit-learn under tight time pressure.,template
Backend Developer,RabbitMQ,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving RabbitMQ under tight time pressure.,template
DevOps Engineer,Ansible,Hard,technical,Your URL shortener is experiencing high latency spikes at 10x normal traffic. How do you use Ansible to diagnose and resolve it?,template
Frontend Developer,Webpack,Easy,behavioural,Tell me about a project where you used Webpack.,template
Backend Developer,Redis,Easy,technical,How would you use Redis to build a simple e-commerce platform?,template
Backend Developer,Redis,Medium,system_design,Design the database schema for a real-time chat app that uses Redis as its data layer.,template
Backend Developer,RabbitMQ,Hard,technical,A race condition is occurring in your RabbitMQ setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,JavaScript,Easy,technical,"If a junior developer asked you to explain JavaScript, what real-world analogy would you use?",template
Data Analyst,Tableau,Hard,technical,A race condition is occurring in your Tableau setup under load. Describe your complete debugging and resolution strategy.,template
Backend Developer,RabbitMQ,Easy,technical,Explain the basic concept of RabbitMQ in simple terms.,template
Backend Developer,PostgreSQL,Hard,technical,"How does PostgreSQL ensure fault tolerance at scale, and what are its architectural limitations?",template
Data Analyst,Tableau,Hard,technical,"A deadlock is occurring in your Tableau database layer during peak traffic. How do you detect, resolve, and prevent this?",template
ML Engineer,scikit-learn,Easy,technical,Your scikit-learn application is throwing an unhandled error on startup. What are your first steps?,template
Data Analyst,Pandas,Medium,behavioural,Tell me about a time you had to convince your team to adopt Pandas. How did you make the case?,template
Frontend Developer,CSS,Medium,technical,Explain how CSS works under the hood.,template
Data Analyst,NumPy,Medium,technical,A memory leak is suspected in your NumPy application. How do you confirm and eliminate it?,template
Frontend Developer,Vue.js,Easy,technical,Your Vue.js application is throwing an unhandled error on startup. What are your first steps?,template
ML Engineer,MLflow,Hard,system_design,Architect a fault-tolerant analytics dashboard using MLflow. How do you handle failures without data loss?,template
Backend Developer,Docker,Hard,behavioural,"Tell me about a time Docker caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Backend Developer,Redis,Easy,technical,What problem does Redis solve in software development?,template
Frontend Developer,Redux,Medium,behavioural,Describe a challenging bug you solved using Redux. What was your thought process?,template
Full Stack Developer,MongoDB,Medium,technical,What are the trade-offs of using MongoDB over alternatives?,template
ML Engineer,PyTorch,Easy,technical,You are starting a new ML Engineer project. Why would you choose PyTorch?,template
Backend Developer,RabbitMQ,Hard,technical,What are the internal memory management strategies used by RabbitMQ?,template
ML Engineer,Model Deployment,Medium,technical,Users are reporting intermittent failures in a Model Deployment service. How do you reproduce and fix the issue?,template
Full Stack Developer,TypeScript,Easy,technical,What are the main features of TypeScript?,template
Data Analyst,SQL,Easy,behavioural,Tell me about a project where you used SQL.,template
ML Engineer,scikit-learn,Hard,technical,Your scikit-learn deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Backend Developer,Docker,Medium,system_design,"How would you design a RESTful API using Docker that supports 10,000 concurrent users?",template
Frontend Developer,Vue.js,Hard,system_design,Design a multi-region deployment of Vue.js for a global application with sub-100ms latency requirements.,template
ML Engineer,Feature Engineering,Easy,technical,"If a junior developer asked you to explain Feature Engineering, what real-world analogy would you use?",template
DevOps Engineer,Jenkins,Medium,technical,Explain how Jenkins works under the hood.,template
DevOps Engineer,Terraform,Hard,system_design,Architect a fault-tolerant analytics dashboard using Terraform. How do you handle failures without data loss?,template
Frontend Developer,TypeScript,Easy,technical,"If a junior developer asked you to explain TypeScript, what real-world analogy would you use?",template
Backend Developer,Python,Hard,technical,Your Python deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Backend Developer,Django,Medium,technical,A Django application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Python,Easy,technical,A basic Python function is returning None unexpectedly. How do you debug it?,template
Backend Developer,PostgreSQL,Easy,technical,Define PostgreSQL and its primary use case.,template
Frontend Developer,JavaScript,Medium,system_design,"How would you design a RESTful API using JavaScript that supports 10,000 concurrent users?",template
Data Analyst,Pandas,Hard,technical,Your job scheduling system is experiencing high latency spikes at 10x normal traffic. How do you use Pandas to diagnose and resolve it?,template
DevOps Engineer,Ansible,Easy,behavioural,Tell me about a project where you used Ansible.,template
DevOps Engineer,Kubernetes,Easy,behavioural,Describe your experience learning Kubernetes for the first time.,template
Data Analyst,Python,Medium,technical,How would you use Python to handle caching invalidation in a real-world application?,template
Backend Developer,Python,Hard,technical,"A deadlock is occurring in your Python database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,FastAPI,Easy,technical,What are the main features of FastAPI?,template
Full Stack Developer,Docker,Hard,technical,Your analytics dashboard is experiencing connection pool exhaustion at 10x normal traffic. How do you use Docker to diagnose and resolve it?,template
ML Engineer,TensorFlow,Medium,system_design,Design a notification service that uses TensorFlow for audit logging. What components would you include?,template
ML Engineer,scikit-learn,Easy,technical,How would you use scikit-learn to build a simple real-time chat app?,template
ML Engineer,scikit-learn,Easy,behavioural,Describe your experience learning scikit-learn for the first time.,template
Data Analyst,Tableau,Medium,system_design,"How would you design a RESTful API using Tableau that supports 10,000 concurrent users?",template
Data Analyst,SQL,Hard,technical,You are the lead engineer on a analytics dashboard serving 5 million users. How would you architect SQL into the stack?,template
Backend Developer,RabbitMQ,Medium,technical,How does RabbitMQ handle rate limiting in a production environment?,template
Data Analyst,SQL,Easy,behavioural,Describe your experience learning SQL for the first time.,template
Full Stack Developer,GraphQL,Hard,technical,"How does GraphQL ensure low read latency at scale, and what are its architectural limitations?",template
ML Engineer,scikit-learn,Hard,technical,What are the internal memory management strategies used by scikit-learn?,template
Data Analyst,NumPy,Medium,technical,A NumPy application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Node.js,Easy,behavioural,Describe your experience learning Node.js for the first time.,template
DevOps Engineer,CI/CD,Medium,technical,A CI/CD application in production is consuming 90% CPU. How do you investigate and resolve this?,template
