input,output
Generate a Easy Debugging question for a Backend Developer focusing on MongoDB,A basic MongoDB function is returning None unexpectedly. How do you debug it?
Generate a Hard Behavioural question for a DevOps Engineer focusing on AWS,"Tell me about a time AWS caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Medium Scenario question for a Full Stack Developer focusing on GraphQL,How would you use GraphQL to handle rate limiting in a real-world application?
Generate a Easy Scenario question for a Backend Developer focusing on RabbitMQ,"If a junior developer asked you to explain RabbitMQ, what real-world analogy would you use?"
Generate a Hard Design question for a Frontend Developer focusing on CSS,Architect a fault-tolerant notification service using CSS. How do you handle failures without data loss?
Generate a Medium Scenario question for a Frontend Developer focusing on JavaScript,How would you use JavaScript to handle rate limiting in a real-world application?
Generate a Easy Design question for a Frontend Developer focusing on HTML5,Design a simple todo app using HTML5 as the core technology.
Generate a Hard Debugging question for a Full Stack Developer focusing on TypeScript,A race condition is occurring in your TypeScript setup under load. Describe your complete debugging and resolution strategy.
Generate a Easy Debugging question for a Frontend Developer focusing on TypeScript,Your TypeScript application is throwing an unhandled error on startup. What are your first steps?
Generate a Easy Conceptual question for a ML Engineer focusing on TensorFlow,Explain the basic concept of TensorFlow in simple terms.
Generate a Medium Debugging question for a Frontend Developer focusing on TypeScript,A memory leak is suspected in your TypeScript application. How do you confirm and eliminate it?
Generate a Medium Conceptual question for a Backend Developer focusing on MongoDB,How does MongoDB handle real-time data consistency in a production environment?
Generate a Hard Behavioural question for a Data Analyst focusing on Excel,"Tell me about a time Excel caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Easy Conceptual question for a ML Engineer focusing on Feature Engineering,Explain the basic concept of Feature Engineering in simple terms.
Generate a Hard Behavioural question for a Backend Developer focusing on Django,Describe a situation where you had to make a critical architectural decision involving Django under tight time pressure.
Generate a Medium Scenario question for a Frontend Developer focusing on Redux,You are building a job scheduling system and need to integrate Redux. Walk me through your approach.
Generate a Hard Scenario question for a Full Stack Developer focusing on Next.js,You are the lead engineer on a e-commerce platform serving 5 million users. How would you architect Next.js into the stack?
Generate a Hard Behavioural question for a Frontend Developer focusing on HTML5,"Tell me about a time HTML5 caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Medium Scenario question for a DevOps Engineer focusing on Docker,How would you use Docker to handle caching invalidation in a real-world application?
Generate a Easy Conceptual question for a Data Analyst focusing on SQL,What is SQL and why is it important for a Data Analyst?
Generate a Easy Conceptual question for a Backend Developer focusing on MongoDB,What is MongoDB and why is it important for a Backend Developer?
Generate a Easy Design question for a Backend Developer focusing on RabbitMQ,How would you structure a basic project using RabbitMQ?
Generate a Easy Debugging question for a Backend Developer focusing on Node.js,Your Node.js application is throwing an unhandled error on startup. What are your first steps?
Generate a Hard Design question for a Frontend Developer focusing on Redux,Design a highly scalable job scheduling system using Redux that handles 1 million events per second.
Generate a Hard Scenario question for a ML Engineer focusing on MLflow,A critical deadline is approaching and MLflow is causing unexpected connection pool exhaustion. How do you manage the situation?
Generate a Medium Scenario question for a Backend Developer focusing on Docker,How would you use Docker to handle real-time data consistency in a real-world application?
Generate a Hard Design question for a Data Analyst focusing on NumPy,Design a multi-region deployment of NumPy for a global application with sub-100ms latency requirements.
Generate a Hard Design question for a DevOps Engineer focusing on Terraform,Design a highly scalable notification service using Terraform that handles 1 million events per second.
Generate a Medium Behavioural question for a Frontend Developer focusing on JavaScript,Tell me about a time you had to convince your team to adopt JavaScript. How did you make the case?
Generate a Medium Debugging question for a Backend Developer focusing on Redis,A Redis application in production is consuming 90% CPU. How do you investigate and resolve this?
Generate a Easy Conceptual question for a Frontend Developer focusing on Vue.js,Explain the basic concept of Vue.js in simple terms.
Generate a Medium Design question for a ML Engineer focusing on MLflow,Design a e-commerce platform that uses MLflow for session management. What components would you include?
Generate a Hard Debugging question for a Data Analyst focusing on NumPy,Your NumPy deployment is experiencing cascading failures across microservices. How do you isolate the root cause?
Generate a Easy Debugging question for a Data Analyst focusing on Tableau,Your Tableau application is throwing an unhandled error on startup. What are your first steps?
Generate a Hard Design question for a DevOps Engineer focusing on Kubernetes,Design a multi-region deployment of Kubernetes for a global application with sub-100ms latency requirements.
Generate a Easy Behavioural question for a Backend Developer focusing on RabbitMQ,Describe your experience learning RabbitMQ for the first time.
Generate a Medium Behavioural question for a Full Stack Developer focusing on GraphQL,Tell me about a time you had to convince your team to adopt GraphQL. How did you make the case?
Generate a Hard Conceptual question for a Frontend Developer focusing on JavaScript,What are the internal memory management strategies used by JavaScript?
Generate a Medium Design question for a Data Analyst focusing on SQL,Design the database schema for a notification service that uses SQL as its data layer.
Generate a Hard Conceptual question for a Data Analyst focusing on Power BI,"How does Power BI ensure low read latency at scale, and what are its architectural limitations?"
Generate a Medium Behavioural question for a Frontend Developer focusing on TypeScript,Describe a challenging bug you solved using TypeScript. What was your thought process?
Generate a Hard Conceptual question for a Frontend Developer focusing on Webpack,"Compare Webpack with its closest alternative in terms of performance, scalability, and developer experience."
Generate a Hard Conceptual question for a ML Engineer focusing on Model Deployment,"Compare Model Deployment with its closest alternative in terms of performance, scalability, and developer experience."
Generate a Medium Scenario question for a ML Engineer focusing on MLflow,How would you use MLflow to handle real-time data consistency in a real-world application?
Generate a Easy Design question for a Full Stack Developer focusing on GraphQL,Design a simple todo app using GraphQL as the core technology.
Generate a Easy Scenario question for a Backend Developer focusing on MongoDB,"If a junior developer asked you to explain MongoDB, what real-world analogy would you use?"
Generate a Hard Behavioural question for a ML Engineer focusing on scikit-learn,"Tell me about a time scikit-learn caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Hard Behavioural question for a Backend Developer focusing on RabbitMQ,Describe a situation where you had to make a critical architectural decision involving RabbitMQ under tight time pressure.
Generate a Hard Scenario question for a DevOps Engineer focusing on Ansible,You are the lead engineer on a e-commerce platform serving 5 million users. How would you architect Ansible into the stack?
Generate a Easy Behavioural question for a Frontend Developer focusing on Webpack,Tell me about a project where you used Webpack.
Generate a Easy Scenario question for a Backend Developer focusing on Redis,How would you use Redis to build a simple URL shortener?
Generate a Medium Design question for a Backend Developer focusing on Redis,Design a analytics dashboard that uses Redis for session management. What components would you include?
Generate a Hard Debugging question for a Backend Developer focusing on RabbitMQ,A race condition is occurring in your RabbitMQ setup under load. Describe your complete debugging and resolution strategy.
Generate a Easy Scenario question for a Frontend Developer focusing on JavaScript,You are starting a new Frontend Developer project. Why would you choose JavaScript?
Generate a Hard Debugging question for a Data Analyst focusing on Tableau,"A deadlock is occurring in your Tableau database layer during peak traffic. How do you detect, resolve, and prevent this?"
Generate a Easy Conceptual question for a Backend Developer focusing on RabbitMQ,Explain the basic concept of RabbitMQ in simple terms.
Generate a Hard Conceptual question for a Backend Developer focusing on PostgreSQL,What are the internal memory management strategies used by PostgreSQL?
Generate a Hard Behavioural question for a Data Analyst focusing on Tableau,"Tell me about a time Tableau caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Easy Behavioural question for a ML Engineer focusing on scikit-learn,Describe your experience learning scikit-learn for the first time.
Generate a Medium Behavioural question for a Data Analyst focusing on Pandas,Describe a challenging bug you solved using Pandas. What was your thought process?
Generate a Medium Conceptual question for a Frontend Developer focusing on CSS,How does CSS handle rate limiting in a production environment?
Generate a Medium Debugging question for a Data Analyst focusing on NumPy,A NumPy application in production is consuming 90% CPU. How do you investigate and resolve this?
Generate a Easy Debugging question for a Frontend Developer focusing on Vue.js,A basic Vue.js function is returning None unexpectedly. How do you debug it?
Generate a Hard Design question for a ML Engineer focusing on MLflow,Architect a fault-tolerant analytics dashboard using MLflow. How do you handle failures without data loss?
Generate a Hard Behavioural question for a Backend Developer focusing on Docker,"Tell me about a time Docker caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Easy Conceptual question for a Backend Developer focusing on Redis,Explain the basic concept of Redis in simple terms.
