input_prompt,output_question
"Generate a Hard system design interview question for a Frontend Developer focusing on Next.js architecture, scalability, and system trade-offs. End with a question mark.",Design a highly scalable job scheduling system using Next.js that handles 1 million events per second.
"Generate a Easy system design interview question for a Ml Engineer focusing on PyTorch architecture, scalability, and system trade-offs. End with a question mark.",How would you structure a basic project using PyTorch?
"Generate a Hard system design interview question for a Ml Engineer focusing on MLflow architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant analytics dashboard using MLflow. How do you handle failures without data loss?
"Generate a Medium behavioural interview question for a Data Analyst about their past experience with SQL. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe a challenging bug you solved using SQL. What was your thought process?
"Generate a Medium behavioural interview question for a Frontend Developer about their past experience with Redux. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe a challenging bug you solved using Redux. What was your thought process?
"Generate a Medium behavioural interview question for a Devops Engineer about their past experience with Ansible. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a time you had to convince your team to adopt Ansible. How did you make the case?
"Generate a Hard system design interview question for a Backend Developer focusing on PostgreSQL architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant e-commerce platform using PostgreSQL. How do you handle failures without data loss?
"Generate a Easy behavioural interview question for a Devops Engineer about their past experience with CI/CD. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning CI/CD for the first time.
Generate a Easy technical interview question for a Devops Engineer about CI/CD. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define CI/CD and its primary use case.
Generate a Medium technical interview question for a Backend Developer about RabbitMQ. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are building a analytics dashboard and need to integrate RabbitMQ. Walk me through your approach.
Generate a Easy technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What problem does Redis solve in software development?
Generate a Hard technical interview question for a Backend Developer about Kafka. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the internal memory management strategies used by Kafka?
"Generate a Hard behavioural interview question for a Backend Developer about their past experience with Redis. Focus on leadership, conflict, or problem-solving. End with a question mark.","Tell me about a time Redis caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
Generate a Medium technical interview question for a Full Stack Developer about MongoDB. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the trade-offs of using MongoDB over alternatives?
"Generate a Medium system design interview question for a Devops Engineer focusing on CI/CD architecture, scalability, and system trade-offs. End with a question mark.",Design a URL shortener that uses CI/CD for full-text search. What components would you include?
Generate a Hard technical interview question for a Frontend Developer about Vue.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A race condition is occurring in your Vue.js setup under load. Describe your complete debugging and resolution strategy.
Generate a Easy technical interview question for a Data Analyst about NumPy. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define NumPy and its primary use case.
Generate a Hard technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"Compare Redis with its closest alternative in terms of performance, scalability, and developer experience."
Generate a Easy technical interview question for a Data Analyst about Tableau. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What is Tableau and why is it important for a Data Analyst?
Generate a Easy technical interview question for a Frontend Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your TypeScript application is throwing an unhandled error on startup. What are your first steps?
Generate a Hard technical interview question for a Frontend Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are the lead engineer on a real-time chat app serving 5 million users. How would you architect TypeScript into the stack?
Generate a Easy technical interview question for a Frontend Developer about Webpack. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define Webpack and its primary use case.
"Generate a Easy system design interview question for a Backend Developer focusing on Docker architecture, scalability, and system trade-offs. End with a question mark.",Design a simple todo app using Docker as the core technology.
Generate a Easy technical interview question for a Devops Engineer about Terraform. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"If a junior developer asked you to explain Terraform, what real-world analogy would you use?"
"Generate a Hard system design interview question for a Backend Developer focusing on RabbitMQ architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant notification service using RabbitMQ. How do you handle failures without data loss?
Generate a Easy technical interview question for a Frontend Developer about Vue.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What problem does Vue.js solve in software development?
Generate a Hard technical interview question for a Backend Developer about FastAPI. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"A deadlock is occurring in your FastAPI database layer during peak traffic. How do you detect, resolve, and prevent this?"
Generate a Hard technical interview question for a Devops Engineer about Ansible. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the internal memory management strategies used by Ansible?
Generate a Hard technical interview question for a Devops Engineer about AWS. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the internal memory management strategies used by AWS?
Generate a Easy technical interview question for a Frontend Developer about Next.js. The question should be scenario-based and require deep technical knowledge. End with a question mark.,What are the main features of Next.js?
"Generate a Hard behavioural interview question for a Ml Engineer about their past experience with TensorFlow. Focus on leadership, conflict, or problem-solving. End with a question mark.","Tell me about a time TensorFlow caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?"
"Generate a Hard system design interview question for a Devops Engineer focusing on Terraform architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant analytics dashboard using Terraform. How do you handle failures without data loss?
Generate a Medium technical interview question for a Backend Developer about Django. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are building a real-time chat app and need to integrate Django. Walk me through your approach.
Generate a Medium technical interview question for a Backend Developer about Kafka. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Kafka to handle real-time data consistency in a real-world application?
"Generate a Medium behavioural interview question for a Data Analyst about their past experience with Power BI. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a time you had to convince your team to adopt Power BI. How did you make the case?
"Generate a Hard system design interview question for a Frontend Developer focusing on Redux architecture, scalability, and system trade-offs. End with a question mark.",Design a multi-region deployment of Redux for a global application with sub-100ms latency requirements.
"Generate a Easy behavioural interview question for a Devops Engineer about their past experience with Jenkins. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used Jenkins.
"Generate a Hard system design interview question for a Devops Engineer focusing on Docker architecture, scalability, and system trade-offs. End with a question mark.",Design a highly scalable e-commerce platform using Docker that handles 1 million events per second.
"Generate a Easy behavioural interview question for a Devops Engineer about their past experience with CI/CD. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used CI/CD.
Generate a Easy technical interview question for a Data Analyst about Excel. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your Excel application is throwing an unhandled error on startup. What are your first steps?
Generate a Medium technical interview question for a Devops Engineer about Jenkins. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Your team is migrating an existing system to use Jenkins. What is your migration plan?
Generate a Easy technical interview question for a Data Analyst about Power BI. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are starting a new Data Analyst project. Why would you choose Power BI?
"Generate a Medium behavioural interview question for a Ml Engineer about their past experience with MLflow. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe a challenging bug you solved using MLflow. What was your thought process?
"Generate a Hard system design interview question for a Full Stack Developer focusing on Docker architecture, scalability, and system trade-offs. End with a question mark.",Architect a fault-tolerant real-time chat app using Docker. How do you handle failures without data loss?
Generate a Medium technical interview question for a Ml Engineer about Model Deployment. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A memory leak is suspected in your Model Deployment application. How do you confirm and eliminate it?
"Generate a Easy behavioural interview question for a Backend Developer about their past experience with RabbitMQ. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning RabbitMQ for the first time.
Generate a Easy technical interview question for a Devops Engineer about Ansible. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Define Ansible and its primary use case.
Generate a Easy technical interview question for a Frontend Developer about HTML5. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"If a junior developer asked you to explain HTML5, what real-world analogy would you use?"
"Generate a Medium system design interview question for a Devops Engineer focusing on Linux architecture, scalability, and system trade-offs. End with a question mark.","How would you design a RESTful API using Linux that supports 10,000 concurrent users?"
Generate a Easy technical interview question for a Devops Engineer about CI/CD. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use CI/CD to build a simple e-commerce platform?
Generate a Medium technical interview question for a Devops Engineer about Jenkins. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A memory leak is suspected in your Jenkins application. How do you confirm and eliminate it?
Generate a Medium technical interview question for a Devops Engineer about CI/CD. The question should be scenario-based and require deep technical knowledge. End with a question mark.,Users are reporting intermittent failures in a CI/CD service. How do you reproduce and fix the issue?
"Generate a Medium system design interview question for a Backend Developer focusing on PostgreSQL architecture, scalability, and system trade-offs. End with a question mark.",Design a job scheduling system that uses PostgreSQL for caching. What components would you include?
"Generate a Easy system design interview question for a Devops Engineer focusing on Linux architecture, scalability, and system trade-offs. End with a question mark.",Design a simple todo app using Linux as the core technology.
Generate a Easy technical interview question for a Data Analyst about Excel. The question should be scenario-based and require deep technical knowledge. End with a question mark.,"If a junior developer asked you to explain Excel, what real-world analogy would you use?"
Generate a Hard technical interview question for a Backend Developer about Docker. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A critical deadline is approaching and Docker is causing unexpected data corruption. How do you manage the situation?
Generate a Hard technical interview question for a Full Stack Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,You are the lead engineer on a notification service serving 5 million users. How would you architect TypeScript into the stack?
"Generate a Easy behavioural interview question for a Frontend Developer about their past experience with Redux. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning Redux for the first time.
"Generate a Easy behavioural interview question for a Backend Developer about their past experience with Docker. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used Docker.
Generate a Medium technical interview question for a Ml Engineer about Model Deployment. The question should be scenario-based and require deep technical knowledge. End with a question mark.,How would you use Model Deployment to handle rate limiting in a real-world application?
"Generate a Easy system design interview question for a Frontend Developer focusing on React architecture, scalability, and system trade-offs. End with a question mark.",How would you structure a basic project using React?
"Generate a Medium system design interview question for a Backend Developer focusing on Django architecture, scalability, and system trade-offs. End with a question mark.",Design a job scheduling system that uses Django for audit logging. What components would you include?
Generate a Medium technical interview question for a Frontend Developer about TypeScript. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A TypeScript application in production is consuming 90% CPU. How do you investigate and resolve this?
Generate a Easy technical interview question for a Backend Developer about Redis. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A basic Redis function is returning None unexpectedly. How do you debug it?
"Generate a Hard system design interview question for a Ml Engineer focusing on Feature Engineering architecture, scalability, and system trade-offs. End with a question mark.",Design a highly scalable e-commerce platform using Feature Engineering that handles 1 million events per second.
"Generate a Medium behavioural interview question for a Backend Developer about their past experience with Node.js. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe a challenging bug you solved using Node.js. What was your thought process?
"Generate a Easy behavioural interview question for a Frontend Developer about their past experience with Webpack. Focus on leadership, conflict, or problem-solving. End with a question mark.",Tell me about a project where you used Webpack.
"Generate a Easy behavioural interview question for a Backend Developer about their past experience with Docker. Focus on leadership, conflict, or problem-solving. End with a question mark.",Describe your experience learning Docker for the first time.
Generate a Hard technical interview question for a Backend Developer about FastAPI. The question should be scenario-based and require deep technical knowledge. End with a question mark.,A critical deadline is approaching and FastAPI is causing unexpected high latency spikes. How do you manage the situation?
